Name,Etot [a.u.],Efree [a.u.],EfreeHarris [a.u.],EVdw [a.u.],Eext [a.u.],Fermi [a.u.],HOMO [ev] [a.u.],Force for centroid (x) [a.u.],Force for centroid (y) [a.u.],force for centroid (z) [a.u.],Max force magnitude [a.u.]
LiNa,-253.910831,-253.910831,-254.249184,0.0,0,0.0525036238,1.42869632,0.000603349755,0.00180782,0.00217013857,0.00526302826
(H2O)64,-1097.08486,-1097.08486,-1152.21343,-0.244981172,0,-0.145009641,-3.94591318,0.0131098729,0.0124592265,-0.0107706435,0.0742193913
Al176Si24,-464.249533,-464.249533,-490.363158,-1.89059657,0,0.287255677,7.81662481,0.000327690013,-0.000202440747,-0.000347826161,0.0386985595
Si512,-1999.53547,-1999.53547,-1999.53552,0.0,0,0.149211399,4.06024882,1.10102851e-07,-7.81510522e-07,-6.96005058e-08,5.33166943e-05
Si216,-850.909218,-8.50909218e,-850.909216,0.0,0,1.37290529,3.73586544,-4.71003662e-05,-0.000210120398,8.53834935e-05,0.0328192796
(CO2)4,-3.19438727,-3.19438727,-3.1943636,0.0,0,1.32040066,7.79506064,-0.258451846,-6.62690419,-8.2575118,40.7654567
(H2O)8,-19.17057,-19.17057,-19.17057,-0.00242345619,0,0.156491284,4.25834458,-5.6665285,3.9487969,-1.71548632,42.1522951
(H2)4,-8.40507252,-8.40507252,-8.40407321,0.0,0,0.0123389802,2.10040066,1.06783711e-06,-2.11605122e-06,2.12686522e-05,0.0521734124
(CO2)2,-4.93211955,-4.93211955,-4.93211321,0.0,0,0.2311399,1.06024882,0.00261411238,0.000892845531,0.0530451105,0.849285859
(H2O)4,-20.4133567,-20.4133567,-20.323567,0.0,0,0.2311399,1.06024882,-8.76733767e-07,-5.498162e-06,3.73762323,1.72125819
N2,-6.55160999e+00,-6.55160999,-6.57194448,0.00000000,0.00000000,0.24902875,6.77641710,-0.10016751,2.31849807,-0.9234168770,6.19063959
NH3,-1.33978379e+01,-13.39783790,-13.39783790,0.00000000,0.00000000,0.23205041,6.31441308,-0.00000101,-0.00000049,-0.0000097525,0.41970191
